PublicationYear,PublicationDate,Journal,Title,Authors,DOI,LandingPageUrl,OpenAlexWorkId
2026,2026-03-01,JETA,REA for Dummies: A Beginner’s Guide to One of the Most Important and Perplexing Innovations in Accounting,Michael Alles; Graham Gal,https://doi.org/10.2308/jeta-2024-022,https://doi.org/10.2308/jeta-2024-022,https://openalex.org/W7135176840
2026,2026-02-20,IJAIS,Deep learning meets risk-based auditing: A holistic framework for leveraging foundation and task-specific models in audit procedures,Tassilo L. Föhr; Marco Schreyer; Kevin Moffitt; Kai-Uwe Marten,https://doi.org/10.1016/j.accinf.2025.100758,https://doi.org/10.1016/j.accinf.2025.100758,https://openalex.org/W7130652604
2026,2026-02-06,JETA,"Continuous Artificial Intelligence-Based Reporting, Monitoring, and Assurance",Xiaoyu Hu; Miklos A. Vasarhelyi; Xiaomei Wang; Yi Yang,https://doi.org/10.2308/jeta-2025-058,https://doi.org/10.2308/jeta-2025-058,https://openalex.org/W7128163209
2025,2025-09-25,JETA,Challenges for Leveraging Explainable Artificial Intelligence in Audit Procedures,Hanchi Gu; Huijue Kelly Duan; Miklos A. Vasarhelyi,https://doi.org/10.2308/jeta-2023-044,https://doi.org/10.2308/jeta-2023-044,https://openalex.org/W4414498778
2025,2025-09-01,ISAFM,Manual Journal Entry Testing: Integrating Natural Language Processing and Deep Learning,Qing Huang; Huijue Kelly Duan; Miklos A. Vasarhelyi,https://doi.org/10.1002/isaf.70016,https://doi.org/10.1002/isaf.70016,https://openalex.org/W4414000692
2025,2025-08-29,JETA,Implementing a Capital Contract Framework for Silent Shareholders: The Role of Blockchain-Enabled Smart Contracts,Eid Alotaibi; Jumi Kim; Dan Palmon,https://doi.org/10.2308/jeta-2023-026,https://doi.org/10.2308/jeta-2023-026,https://openalex.org/W4413847504
2025,2025-07-11,JETA,Addressing the Last Mile Problem in Open Government Data: Using AIS Technologies to Enhance Governmental Financial Reporting,Huaxia Li; Danyang Wei; Kevin Moffitt; Miklos A. Vasarhelyi,https://doi.org/10.2308/jeta-2024-018,https://doi.org/10.2308/jeta-2024-018,https://openalex.org/W4412200832
2025,2025-07-06,ISAFM,Issue Information,Daniel O'leary; Amelia Baldwin; Wade Brorsen; Christer Carlsson; Alan Dennis; Cheryl Dunn; Omar Sawy; Guido Geerts; Kevin Kobelsky; Stewart Leech; Mark Leung; Thomas Mckee; Kevin Moffitt; Suzanne Pinson; Ralf Plattfaut; Alun Preece; Arvind Rangaswamy; Antoaneta Serguieva; Steve Sutton; Edward Tsang; Jan Vanthienen; Miklos Vasarhelyi; David Wood; George Wright; Ronald Yager,https://doi.org/10.1002/isaf.1560,https://doi.org/10.1002/isaf.1560,https://openalex.org/W4412098621
2025,2025-06-30,JIS,Detecting Suspicious Transactions Using Deep Learning-Based Process Mining,Yunsen Wang; Tiffany Chiu; Victoria Chiu; Miklos A. Vasarhelyi,https://doi.org/10.2308/isys-2024-006,https://doi.org/10.2308/isys-2024-006,https://openalex.org/W4411803900
2025,2025-06-26,JETA,Next-Generation Gamification in Accounting Education: Digital-Role Play Games (D-RPGs) with Generative AI (GAI),Fangbing Xiong; Jie Bao,https://doi.org/10.2308/jeta-2024-012,https://doi.org/10.2308/jeta-2024-012,https://openalex.org/W4411689131
2025,2025-06-01,JETA,Exploratory Experiments in Generating Bag of Word Dictionaries Using Word2Vec and ChatGPT,Daniel E. O’Leary; Yangin Yoon; Kevin Moffitt,https://doi.org/10.2308/jeta-2024-013,https://doi.org/10.2308/jeta-2024-013,https://openalex.org/W4411368861
2025,2025-05-28,JETA,Fair-Value Measurement for Illiquid and Unexchangeable Crypto Assets,Eyal Beigman; Gerard Brennan; Sheng-Feng Hsieh; Alexander J. Sannella,https://doi.org/10.2308/jeta-2024-006,https://doi.org/10.2308/jeta-2024-006,https://openalex.org/W4410809678
2025,2025-05-23,JIS,Using Machine Learning Algorithms to Improve Fiscal Distress Prediction Models: The Case of U.S. Local Governments,R. P. Liu; Huaxia Li; Kyunghee Yoon; Miklos A. Vasarhelyi,https://doi.org/10.2308/isys-2023-049,https://doi.org/10.2308/isys-2023-049,https://openalex.org/W4410643310
2025,2025-05-05,JETA,"Business Education 4.0: A Pedagogical Emphasis on Innovation, Flexibility, and Scalability",Huijue Kelly Duan; Hussein Issa; Miklos A. Vasarhelyi,https://doi.org/10.2308/jeta-2024-029,https://doi.org/10.2308/jeta-2024-029,https://openalex.org/W4410086165
2025,2025-04-07,ISAFM,Issue Information,Daniel O'leary; Amelia Baldwin; Wade Brorsen; Christer Carlsson; Alan Dennis; Cheryl Dunn; Omar Sawy; Guido Geerts; Kevin Kobelsky; Stewart Leech; Mark Leung; Thomas Mckee; Kevin Moffitt; Suzanne Pinson; Ralf Plattfaut; Alun Preece; Arvind Rangaswamy; Antoaneta Serguieva; Steve Sutton; Edward Tsang; Jan Vanthienen; Miklos Vasarhelyi; David Wood; George Wright; Ronald Yager,https://doi.org/10.1002/isaf.1558,https://doi.org/10.1002/isaf.1558,https://openalex.org/W4409208985
2025,2025-02-28,JETA,Visual Analytics and Visual Audit,Lu Zhang; Heejae Lee; Qi Liu; Miklos A. Vasarhelyi,https://doi.org/10.2308/jeta-2022-063,https://doi.org/10.2308/jeta-2022-063,https://openalex.org/W4408047768
2024,2024-10-01,JETA,It’s Not Intelligence; It’s Functionality!,Yu Gu; Qing Huang; Miklos A. Vasarhelyi,https://doi.org/10.2308/jeta-2024-025,https://doi.org/10.2308/jeta-2024-025,https://openalex.org/W4403042583
2024,2024-09-21,IJAIS,The application of continuous audit and monitoring methodology: A government medication procurement case,Wenru Wang; Miklos A. Vasarhelyi,https://doi.org/10.1016/j.accinf.2024.100713,https://doi.org/10.1016/j.accinf.2024.100713,https://openalex.org/W4402707586
2024,2024-08-22,JIS,Extracting Financial Data from Unstructured Sources: Leveraging Large Language Models,Huaxia Li; Haoyun Gao; Chengzhang Wu; Miklos A. Vasarhelyi,https://doi.org/10.2308/isys-2023-047,https://doi.org/10.2308/isys-2023-047,https://openalex.org/W4401780550
2024,2024-08-22,JIS,Integrating Process Mining and Machine Learning for Advanced Internal Control Evaluation in Auditing,Huijue Kelly Duan; Miklos A. Vasarhelyi; Maurí­cio Mello Codesso,https://doi.org/10.2308/isys-2022-028,https://doi.org/10.2308/isys-2022-028,https://openalex.org/W4401778973
2024,2024-08-06,JETA,Using Artificial Intelligence in ESG Assurance,Nichole Li; Meehyun Kim; Jun Dai; Miklos A. Vasarhelyi,https://doi.org/10.2308/jeta-2022-054,https://doi.org/10.2308/jeta-2022-054,https://openalex.org/W4401360651
