Journal,Rank,Author,PapersInJournal,PrimaryAffiliation,TopAffiliationsInJournal,ORCID,OpenAlexAuthorId
IJAIS,1,Steve G. Sutton,31,Oklahoma State University Oklahoma City,University of Central Florida (23); Norwegian School of Economics (7); University of Melbourne (5); University of Connecticut (4); Texas Tech University (1),https://orcid.org/0000-0002-7096-7394,https://openalex.org/A5016419628
IJAIS,2,Miklos A. Vasarhelyi,28,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey (25)",https://orcid.org/0000-0003-3205-476X,https://openalex.org/A5049215719
IJAIS,3,Severin V. Grabski,18,Michigan State University,Michigan State University (13); College of Accounting (2); Eli and Edythe Broad Foundation (1),,https://openalex.org/A5049204591
IJAIS,3,Vicky Arnold,18,,University of Central Florida (14); Norwegian School of Economics (4); Oklahoma State University (2); University of Connecticut (2); Ernst & Young (United States) (1); University of Melbourne (1),https://orcid.org/0000-0003-3072-1303,https://openalex.org/A5026894138
IJAIS,5,Andreas I. Nicolaou,16,Bowling Green State University,Bowling Green State University (14); University of Cyprus (1); University of Piraeus (1),,https://openalex.org/A5070137549
IJAIS,6,Michael Alles,15,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey (14); Rutgers Sexual and Reproductive Health and Rights (1)",https://orcid.org/0000-0001-7921-8763,https://openalex.org/A5024081753
IJAIS,7,J. Efrim Boritz,12,University of Waterloo,University of Waterloo (12),https://orcid.org/0000-0002-9752-5131,https://openalex.org/A5000598183
IJAIS,8,Stewart A. Leech,11,University of Melbourne,University of Melbourne (4); The University of Melbourne (2),,https://openalex.org/A5041476675
IJAIS,8,Uday S. Murthy,11,University of South Florida,University of South Florida (11),https://orcid.org/0000-0003-3075-2839,https://openalex.org/A5087877751
IJAIS,10,Daniel E. O’Leary,10,Southern California University for Professional Studies,University of Southern California (10); Southern California University for Professional Studies (2),https://orcid.org/0000-0002-5240-9516,https://openalex.org/A5003034800
IJAIS,10,James E. Hunton,10,Bentley University,Bentley University (8); University of South Florida (2); Erasmus University Rotterdam (1); Maastricht School of Management (1); Maastricht University (1),,https://openalex.org/A5087170194
