Journal,Rank,Author,PapersInJournal,PrimaryAffiliation,TopAffiliationsInJournal,ORCID,OpenAlexAuthorId
JIS,1,Miklos A. Vasarhelyi,27,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey (25); Rutgers Sexual and Reproductive Health and Rights (1)",https://orcid.org/0000-0003-3205-476X,https://openalex.org/A5049215719
JIS,2,James E. Hunton,22,Bentley University,Bentley University (17); University of South Florida (5); Maastricht University (2),,https://openalex.org/A5087170194
JIS,3,J. Efrim Boritz,19,University of Waterloo,University of Waterloo (19),https://orcid.org/0000-0002-9752-5131,https://openalex.org/A5000598183
JIS,4,Diane J. Janvrin,17,Iowa State University,Iowa State University (16),https://orcid.org/0000-0001-8744-0735,https://openalex.org/A5030021822
JIS,5,Patrick Wheeler,16,Florida Gulf Coast University,University of Missouri (5); University of South Florida (5); Florida Gulf Coast University (4),https://orcid.org/0000-0001-5961-1461,https://openalex.org/A5034076213
JIS,5,Robert Pinsker,16,Florida Atlantic University,Florida Atlantic University (11); Dominion University College (1); Old Dominion University (1),https://orcid.org/0000-0002-5080-2496,https://openalex.org/A5026987002
JIS,5,Roger Debreceny,16,University of Hawaiʻi at Mānoa,University of Hawaiʻi at Mānoa (14); University of Hawaii System (1),https://orcid.org/0000-0002-1526-4899,https://openalex.org/A5063194122
JIS,8,Steve G. Sutton,15,Oklahoma State University Oklahoma City,University of Central Florida (11); Oklahoma State University Oklahoma City (3); Norwegian School of Economics (2); Texas Tech University (1); University of Melbourne (1),https://orcid.org/0000-0002-7096-7394,https://openalex.org/A5016419628
JIS,8,Tawei Wang,15,DePaul University,DePaul University (9); University of Hawaiʻi at Mānoa (5); Auburn University (1),https://orcid.org/0000-0002-4755-3652,https://openalex.org/A5033868166
JIS,10,A. Faye Borthick,13,,Georgia State University (11),https://orcid.org/0000-0002-2122-464X,https://openalex.org/A5068019229
JIS,10,Alexander Kogan,13,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey (13); Rutgers Sexual and Reproductive Health and Rights (1)",https://orcid.org/0000-0001-9672-3876,https://openalex.org/A5047969246
JIS,10,Uday S. Murthy,13,University of South Florida,University of South Florida (9); Mitchell Institute (3); Texas A&M University (3),https://orcid.org/0000-0003-3075-2839,https://openalex.org/A5087877751
JIS,13,Vernon J. Richardson,12,University of Arkansas at Fayetteville,University of Arkansas at Fayetteville (9); University of Kansas (2); Xi’an Jiaotong-Liverpool University (2),https://orcid.org/0000-0002-3397-3744,https://openalex.org/A5026674829
JIS,14,Paul John Steinbart,11,,Arizona State University (9),,https://openalex.org/A5075730165
JIS,15,Guido L. Geerts,10,,University of Delaware (9),,https://openalex.org/A5038278666
JIS,15,Jacob M. Rose,10,Australian Regenerative Medicine Institute,Australian Regenerative Medicine Institute (4); Monash University (4); University of Waikato (4); Oregon State University (2); Southern Illinois University Carbondale (1); University of Missouri (1); University of New Hampshire at Manchester (1),https://orcid.org/0000-0002-8496-264X,https://openalex.org/A5079279172
JIS,15,Theophanis C. Stratopoulos,10,University of Waterloo,University of Waterloo (10),https://orcid.org/0000-0001-9106-7187,https://openalex.org/A5051997338
JIS,15,Vicky Arnold,10,,University of Central Florida (5); Oklahoma State University Oklahoma City (3); Norwegian School of Economics (1); Texas Tech University (1),https://orcid.org/0000-0003-3072-1303,https://openalex.org/A5026894138
JIS,15,Won Gyun No,10,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey (6); Iowa State University (4)",https://orcid.org/0000-0002-1676-4254,https://openalex.org/A5084583272
JIS,20,Carolyn Strand Norman,9,Virginia Commonwealth University,Virginia Commonwealth University (8),,https://openalex.org/A5085961383
JIS,20,David A. Wood,9,Brigham Young University,Brigham Young University (8),https://orcid.org/0000-0002-9748-8561,https://openalex.org/A5075888890
JIS,20,Glen L. Gray,9,"California State University, Northridge","California State University, Northridge (9)",https://orcid.org/0000-0002-0929-3124,https://openalex.org/A5062356029
JIS,20,Stephanie Walton,9,Louisiana State University,Louisiana State University (9),https://orcid.org/0000-0003-0598-0389,https://openalex.org/A5040899608
JIS,20,Taesoo Moon,9,,,https://orcid.org/0000-0003-0248-2595,https://openalex.org/A5000299602
JIS,25,Anna M. Rose,8,University of Waikato,University of Waikato (3); Montana State University (1); Oregon State University (1); Southern Illinois University Carbondale (1); University of Missouri (1); University of New Hampshire at Manchester (1),https://orcid.org/0000-0002-9026-8814,https://openalex.org/A5027331465
JIS,25,Dan N. Stone,8,,University of Kentucky (6),https://orcid.org/0000-0002-0719-3015,https://openalex.org/A5055112920
JIS,25,Jee‐Hae Lim,8,University of Hawaiʻi at Mānoa,University of Waterloo (5); University of Hawaiʻi at Mānoa (3),https://orcid.org/0000-0002-4916-9988,https://openalex.org/A5015685875
JIS,25,Mary B. Curtis,8,University of North Texas,University of North Texas (7),https://orcid.org/0000-0002-8621-6712,https://openalex.org/A5085528784
JIS,25,Tina M. Loraas,8,,Auburn University (7),https://orcid.org/0000-0003-0177-8298,https://openalex.org/A5040489101
JIS,30,Daniel E. O’Leary,7,Southern California University for Professional Studies,University of Southern California (7); Southern California University for Professional Studies (6); California Southern University (1),https://orcid.org/0000-0002-5240-9516,https://openalex.org/A5003034800
JIS,30,Jay C. Thibodeau,7,Bentley University,Bentley University (7),https://orcid.org/0000-0002-4951-0461,https://openalex.org/A5055981040
JIS,30,Marianne Bradford,7,North Carolina State University,North Carolina State University (7),https://orcid.org/0000-0002-7760-1774,https://openalex.org/A5000519241
JIS,30,William N. Dilla,7,Iowa State University,Iowa State University (7),https://orcid.org/0000-0003-0189-4934,https://openalex.org/A5083955206
JIS,34,Brad S. Trinkle,6,Mississippi State University,Mississippi State University (6),,https://openalex.org/A5003010196
JIS,34,Carla Wilkin,6,Australian Regenerative Medicine Institute,Australian Regenerative Medicine Institute (6); Monash University (6),https://orcid.org/0000-0002-3068-2909,https://openalex.org/A5088023784
JIS,34,Cheryl L. Dunn,6,,Dominion University College (1); Florida State University (1); Grand Valley State University (1); Old Dominion University (1),https://orcid.org/0000-0002-2390-3021,https://openalex.org/A5045794343
JIS,34,Donald R. Jones,6,Texas Tech University,Texas Tech University (5); Georgia State University (1),https://orcid.org/0000-0001-8133-8801,https://openalex.org/A5015654808
JIS,34,Hee‐Woong Kim,6,,,https://orcid.org/0000-0001-8514-9434,https://openalex.org/A5033521909
JIS,34,Neal M. Snow,6,Lehigh University,Lehigh University (5); Wright State University (1),https://orcid.org/0000-0003-1348-5628,https://openalex.org/A5020605539
JIS,34,Robert E. Crossler,6,Washington State University,Washington State University (3); Mississippi State University (2),https://orcid.org/0000-0002-8179-9138,https://openalex.org/A5090489133
JIS,34,Robin Pennington,6,North Carolina State University,North Carolina State University (5); University of Tennessee at Knoxville (1),https://orcid.org/0000-0002-6613-8438,https://openalex.org/A5045856865
JIS,34,Robyn L. Raschke,6,"University of Nevada, Las Vegas","University of Nevada, Las Vegas (6)",https://orcid.org/0000-0001-6745-7994,https://openalex.org/A5042188598
JIS,34,Rodney E. Smith,6,"California State University, Long Beach","California State University, Long Beach (6)",,https://openalex.org/A5032068726
JIS,34,Vairam Arunachalam,6,University of Missouri,University of Missouri (6),https://orcid.org/0000-0002-3881-4005,https://openalex.org/A5029747990
JIS,34,Yibo Zhang,6,Miami University,Miami University (5); University of Colorado Denver (1),https://orcid.org/0000-0002-0061-3902,https://openalex.org/A5000865351
JIS,34,Young‐Chan Lee,6,,,https://orcid.org/0000-0003-3715-5279,https://openalex.org/A5019501780
